Ancient_Greek	grc	ancient_greek	Ancient_Greek	grc
Ancient_Greek-PROIEL	grc_proiel	ancient_greek-proiel	Ancient_Greek	grc
Arabic	ar	arabic	Arabic	ar
Basque	eu	basque	Basque	eu
Bulgarian	bg	bulgarian	Bulgarian	bg
Catalan	ca	catalan	Catalan	ca
Chinese	zh	chinese	ChineseT	zh
Croatian	hr	croatian	Croatian	hr
Czech	cs	czech	Czech	cs
Czech-CAC	cs_cac	czech-cac	Czech	cs
Czech-CLTT	cs_cltt	czech-cltt	Czech	cs
Danish	da	danish	Danish	da
Dutch	nl	dutch	Dutch	nl
Dutch-LassySmall	nl_lassysmall	dutch-lassysmall	Dutch	nl
English	en	english	English	en
English-LinES	en_lines	english-lines	English	en
English-ParTUT	en_partut	english-partut	English	en
Estonian	et	estonian	Estonian	et
Finnish	fi	finnish	Finnish	fi
Finnish-FTB	fi_ftb	finnish-ftb	Finnish	fi
French	fr	french	French	fr
French-ParTUT	fr_partut	french-partut	French	fr
French-Sequoia	fr_sequoia	french-sequoia	French	fr
Galician	gl	galician	Galician	gl
Galician-TreeGal	gl_treegal	galician-treegal	Galician	gl
German	de	german	German	de
Gothic	got	gothic	Gothic	got
Greek	el	greek	Greek	el
Hebrew	he	hebrew	Hebrew	he
Hindi	hi	hindi	Hindi	hi
Hungarian	hu	hungarian	Hungarian	hu
Indonesian	id	indonesian	Indonesian	id
Irish	ga	irish	Irish	ga
Italian	it	italian	Italian	it
Italian-ParTUT	it_partut	italian-partut	Italian	it
Japanese	ja	japanese	Japanese	ja
Kazakh	kk	kazakh	Kazakh	kk
Korean	ko	korean	Korean	ko
Latin	la	latin	Latin	la
Latin-ITTB	la_ittb	latin-ittb	Latin	la
Latin-PROIEL	la_proiel	latin-proiel	Latin	la
Latvian	lv	latvian	Latvian	lv
Norwegian-Bokmaal	no_bokmaal	norwegian-bokmaal	Norwegian-Bokmaal	no_bokmaal
Norwegian-Nynorsk	no_nynorsk	norwegian-nynorsk	Norwegian-Nynorsk	no_nynorsk
Old_Church_Slavonic	cu	old_church_slavonic	Old_Church_Slavonic	cu
Persian	fa	persian	Persian	fa
Polish	pl	polish	Polish	pl
Portuguese	pt	portuguese	Portuguese	pt
Portuguese-BR	pt_br	portuguese-br	Portuguese	pt
Romanian	ro	romanian	Romanian	ro
Russian	ru	russian	Russian	ru
Russian-SynTagRus	ru_syntagrus	russian-syntagrus	Russian	ru
Slovak	sk	slovak	Slovak	sk
Slovenian	sl	slovenian	Slovenian	sl
Slovenian-SST	sl_sst	slovenian-sst	Slovenian	sl
Spanish	es	spanish	Spanish	es
Spanish-AnCora	es_ancora	spanish-ancora	Spanish	es
Swedish	sv	swedish	Swedish	sv
Swedish-LinES	sv_lines	swedish-lines	Swedish	sv
Turkish	tr	turkish	Turkish	tr
Ukrainian	uk	ukrainian	Ukrainian	uk
Urdu	ur	urdu	Urdu	ur
Uyghur	ug	uyghur	Uyghur	ug
Vietnamese	vi	vietnamese	Vietnamese	vi
